onset,offset,peak,magnitude,duration
83852,101403,94197,1.02240170951328,17551
101403,175515,106136,1.33666167926527,74112
101403,175515,122813,1.85169677916024,74112
175515,190028,183599,1.03056820460957,14513
190028,269362,214764,1.10565867950538,79334
269362,365286,276706,2.17722299458037,95924
269362,365286,286965,2.01839130865934,95924
365286,468519,375220,2.60817870337808,103233
468519,517225,479048,2.18146883534102,48706
517225,538897,524646,1.2726465440025,21672
538897,576519,544222,1.03197830358851,37622
576519,616133,581939,2.76050422283558,39614
616133,629210,622225,1.03824119914833,13077
629210,667360,650780,2.55620626935661,38150
667360,688540,671744,1.47401662457405,21180
688540,717108,693676,1.18788398554141,28568
688540,717108,703941,1.36740746766739,28568
717108,748068,722206,1.96781572713566,30960
748068,762492,751836,1.73364921925137,14424
762492,779636,765887,2.06536252397118,17144
779636,831997,785493,2.17431308503812,52361
831997,890628,843481,2.59999395600393,58631
890628,920528,894986,1.10875563825202,29900
920528,949732,932367,2.61470110338497,29204
949732,1006100,959079,1.41204989236254,56368
949732,1006100,975139,2.38799278964875,56368
1006100,1034872,1012071,1.25263393201031,28772
1034872,1098677,1041002,1.62789275144849,63805
1034872,1098677,1059370,2.52041723335524,63805
1098677,1144672,1108085,1.10378216915211,45995
1144672,1178525,1148076,1.67418361627402,33853
1144672,1178525,1161554,1.66616067547928,33853
1178525,1247212,1191442,1.52623167466771,68687
1178525,1247212,1207374,2.04039431408147,68687
1247212,1257892,1252674,1.3369321671112,10680
1257892,1324413,1267654,2.01468077204506,66521
1324413,1363577,1328831,1.17654992177509,39164
1324413,1363577,1342548,2.3251362016311,39164
1363577,1399358,1369235,1.15777052893584,35781
1399358,1416736,1405806,1.19518946219276,17378
1416736,1491376,1436524,2.83952223841819,74640
1491376,1537625,1502624,2.71912163381268,46249
1537625,1620301,1543457,1.50598848684074,82676
1537625,1620301,1564615,1.0243388681983,82676
1537625,1620301,1586700,1.33341381742582,82676
1620301,1676972,1632125,3.56877376182758,56671
1676972,1692805,1679632,1.50958639180262,15833
1692805,1716870,1711611,1.79417353360407,24065
1716870,1735547,1721863,1.00166029464811,18677
1735547,1764459,1760181,1.24514886659661,28912
1764459,1814085,1776256,2.59003498587265,49626
1814085,1845210,1828390,1.38609417708719,31125
1845210,1919361,1861808,2.33564299043296,74151
1845210,1919361,1873070,2.3726720172186,74151
1919361,1954246,1923029,1.33540876028976,34885
1954246,2006432,1959812,2.3310474548369,52186
2006432,2024577,2014335,2.34598504994421,18145
2024577,2083384,2032076,1.76646115651828,58807
2083384,2176842,2105200,1.73043765756876,93458
2176842,2228212,2194646,2.66561411455835,51370
2228212,2304523,2241647,2.15211083757048,76311
2228212,2304523,2253271,1.44296645738859,76311
2228212,2304523,2266770,1.17372951882988,76311
2304523,2343812,2312542,4.51953458106675,39289
2304523,2343812,2324419,1.24107221071933,39289
2343812,2375596,2351593,1.81228118824858,31784
2375596,2401142,2386093,1.89846666001018,25546
2401142,2414154,2404961,2.43416746446612,13012
2414154,2455172,2423608,2.25158316427214,41018
2455172,2514033,2459312,1.31921456656461,58861
2455172,2514033,2476293,1.35372077953222,58861
2514033,2577195,2521067,1.73908182625916,63162
2514033,2577195,2531916,2.74604925391281,63162
2577195,2614776,2589530,3.70062612390323,37581
2577195,2614776,2601924,1.41217011283936,37581
2614776,2633238,2623331,1.14584749311259,18462
2633238,2649752,2642446,2.35816574090505,16514
2649752,2672036,2659598,1.66034466457305,22284
2672036,2688526,2680722,1.81386492475421,16490
2688526,2730228,2702346,1.79435146005344,41702
2730228,2749082,2738814,2.16912282060275,18854
2749082,2770331,2757382,1.29768811783079,21249
2770331,2792215,2778004,2.13760327030673,21884
2792215,2824227,2797008,1.19087348372623,32012
2824227,2870403,2851761,2.80320995774964,46176
2870403,2933214,2873909,1.70612198534522,62811
2933214,2984435,2934943,1.37217816699785,51221
2933214,2984435,2947475,3.64493209340687,51221
2984435,3025122,3003235,2.96227132709968,40687
3025122,3042420,3026837,1.31597318891175,17298
3042420,3124729,3059327,1.54963964850867,82309
3124729,3156725,3127076,1.92879681619285,31996
3124729,3156725,3144109,1.41052657192672,31996
3156725,3217582,3159357,1.8226451430025,60857
3217582,3239070,3229850,2.24541628473772,21488
3239070,3260938,3247606,1.48122694798809,21868
3260938,3272595,3264811,1.45991899210232,11657
3272595,3307835,3302807,1.26111705498729,35240
3307835,3354214,3324584,2.06916644870806,46379
3307835,3354214,3336436,1.59053366936209,46379
3354214,3389112,3364076,2.45352038210049,34898
3389112,3428899,3410894,2.94361177599214,39787
3428899,3473795,3439011,1.79341218191851,44896
3473795,3522000,3486465,3.24687835101942,48205
3522000,3542145,3525061,1.45390918983965,20145
3542145,3564743,3554779,1.34988414044563,22598
3564743,3626948,3578989,2.10877260342729,62205
3626948,3669653,3637378,3.62708127327691,42705
3669653,3774386,3688594,2.45414583530531,104733
3669653,3774386,3718253,1.07637495547633,104733
3774386,3854802,3787229,2.00532986174779,80416
3774386,3854802,3807430,1.10737234908804,80416
3854802,3885240,3861605,2.26601728760547,30438
3885240,3909347,3898021,2.54415968879308,24107
3909347,3956873,3914411,1.82604022480926,47526
3956873,4022671,3981321,3.17456387178633,65798
4022671,4134623,4032842,1.61238800003893,111952
4022671,4134623,4046977,1.22208535060044,111952
4022671,4134623,4072722,2.84692220947703,111952
4134623,4168155,4146802,4.26618729561287,33532
4168155,4210063,4177086,1.00735047033602,41908
4210063,4245705,4223785,3.52453379862509,35642
4245705,4285190,4249343,1.69216824102796,39485
4285190,4304743,4292597,2.53016283432732,19553
4304743,4318406,4312037,1.07944919270154,13663
4318406,4346268,4331242,1.58549275972373,27862
4346268,4401933,4352295,1.14011307511923,55665
4401933,4440049,4415004,1.71119546359476,38116
4440049,4470906,4453719,2.65252015792366,30857
4470906,4499198,4477942,2.59406430374124,28292
4499198,4553202,4533251,1.81632815764407,54004
4553202,4663145,4557472,2.75874413566148,109943
4663145,4697614,4671980,2.05801147216254,34469
4663145,4697614,4682464,1.8031261296184,34469
4697614,4724946,4700694,1.7191171705896,27332
4724946,4741250,4728462,2.0170748338829,16304
4741250,4810134,4763808,1.40481245115384,68884
4810134,4845559,4814139,1.38535203652761,35425
4845559,4899348,4852452,2.78049983296696,53789
4899348,4989768,4927273,1.09223645379533,90420
4899348,4989768,4970483,1.32397702815115,90420
4989768,5035257,4998477,1.03904537137252,45489
5035257,5077490,5061426,1.67212865835465,42233
5077490,5171252,5099276,1.82507086641808,93762
5171252,5221500,5194338,2.38577796787964,50248
5221500,5245575,5235307,2.34166666773846,24075
5245575,5285435,5254884,3.12023008889475,39860
5285435,5310278,5294201,1.22748092810146,24843
5310278,5355936,5329357,2.5003345144381,45658
5310278,5355936,5342308,1.2385756520764,45658
5355936,5392696,5366411,2.30386264019193,36760
5392696,5458738,5415261,3.10570428486333,66042
5458738,5506851,5475333,3.15952949373688,48113
5506851,NaN,5510316,2.45335996064963,NaN
