id,t,trialtype,cs,us,vacuum,opto_on,opto_off,ustype,us_stop,cstype,first_lick
1,647.432533333333,ODOR-ON_1,NaN,647.960033333333,NaN,NaN,NaN,Odor,657.954133333333,,NaN
2,688.3072,ODOR-ON_1,NaN,688.833366666667,NaN,NaN,NaN,Odor,698.8288,,NaN
3,729.096533333333,ODOR-ON_1,NaN,729.612466666667,NaN,NaN,NaN,Odor,739.592533333333,,730.627
4,769.9712,PAUSE_120,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
5,891.844266666667,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,892.3648,894.1022,896.113966666667,NaN,NaN,REW_1,NaN,,894.298
6,911.266133333333,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,911.778133333333,913.472633333333,915.478433333333,NaN,NaN,REW_1,NaN,,913.612
7,930.6368,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,931.131733333333,932.821833333333,934.8359,NaN,NaN,REW_1,NaN,,933.101
8,950.007466666667,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,950.519466666667,952.209566666667,954.2173,NaN,NaN,REW_1,NaN,,NaN
9,969.378133333333,TONE_1_LAG_2500,969.890133333333,NaN,NaN,NaN,NaN,,NaN,,NaN
10,988.731733333333,TONE_1_LAG_500_REW_2_LAG_2000_VACUUM_1,989.2608,990.928733333333,992.9394,NaN,NaN,REW_2,NaN,,NaN
11,1008.11946666667,TONE_1_LAG_500_REW_2_LAG_2000_VACUUM_1,1008.64853333333,1010.32696666667,1012.33366666667,NaN,NaN,REW_2,NaN,,1010.452
12,1027.49013333333,TONE_1_LAG_500_REW_2_LAG_2000_VACUUM_1,1028.00213333333,1029.68426666667,1031.69393333333,NaN,NaN,REW_2,NaN,,1029.819
13,1046.9888,TONE_1_LAG_500_REW_3_LAG_2000_VACUUM_1,1047.5008,1049.18236666667,1051.19656666667,NaN,NaN,REW_3,NaN,,1049.34
14,1066.35946666667,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1066.84586666667,1068.55013333333,1070.55336666667,NaN,NaN,REW_1,NaN,,1068.686
15,1085.7472,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1086.24213333333,1087.949,1089.96266666667,NaN,NaN,REW_1,NaN,,1088.222
16,1105.152,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1105.664,1107.35036666667,1109.372,NaN,NaN,REW_1,NaN,,NaN
17,1124.52266666667,PAUSE_120,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
18,1246.37013333333,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1246.88213333333,1248.5733,1250.57633333333,NaN,NaN,REW_1,NaN,,1250.818
19,1265.7408,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1266.2528,1267.9508,1269.95586666667,NaN,NaN,REW_1,NaN,,1269.993
20,1285.16266666667,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1285.67466666667,1287.3618,1289.37553333333,NaN,NaN,REW_1,NaN,,1287.519
21,1304.56746666667,TONE_1_LAG_500_REW_1_LAG_2000_VACUUM_1,1305.07946666667,1306.7841,1308.79803333333,NaN,NaN,REW_1,NaN,,1306.942
22,1323.94666666667,TONE_1_LAG_2500,1324.43306666667,NaN,NaN,NaN,NaN,,NaN,,NaN
